Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,4.605289,0
401,4.526377,0
402,4.443156,0
403,4.391951,0
404,4.292311,0
405,4.20519,0
406,4.11181,0
407,4.029615,0
408,3.93018,0
409,3.850038,0
410,3.767021,0
411,3.685955,0
412,3.590523,0
413,3.510482,0
414,3.433418,0
415,3.377082,0
416,3.294887,0
417,3.231368,0
418,3.154406,0
419,3.101046,0
420,2.991144,0
421,2.960462,0
422,2.874162,0
423,2.833219,0
424,2.745996,0
425,2.673036,0
426,2.63712,0
427,2.541688,0
428,2.469959,0
429,2.423782,0
430,2.352875,0
431,2.297565,0
432,2.237022,0
433,2.190845,0
434,2.138511,0
435,2.07181,0
436,2.030662,0
437,1.96509,0
438,1.925994,0
439,1.910601,0
440,1.851084,0
441,1.829535,0
442,1.79875,0
443,1.749495,0
444,1.724867,0
445,1.701368,0
446,1.680845,0
447,1.648008,0
448,1.606859,0
449,1.601831,0
450,1.547444,0
451,1.521688,0
452,1.483823,0
453,1.461247,0
454,1.408811,0
455,1.422253,0
456,1.392495,0
457,1.349396,0
458,1.314507,0
459,1.306195,0
460,1.272434,0
461,1.237442,0
462,1.215996,0
463,1.187263,0
464,1.140984,0
465,1.121487,0
466,1.096859,0
467,1.073257,0
468,1.071308,0
469,1.038368,0
470,1.037444,0
471,1.005634,0
472,0.9974244,0
473,0.9788509,0
474,0.9563781,0
475,0.9603801,0
476,0.9306216,0
477,0.9122534,0
478,0.9050702,0
479,0.8936799,0
480,0.8948087,0
481,0.8855733,0
482,0.8824948,0
483,0.8753117,0
484,0.8475029,0
485,0.8537624,0
486,0.8629978,0
487,0.8455532,0
488,0.8218489,0
489,0.8414485,0
490,0.835189,0
491,0.8404224,0
492,0.8435009,0
493,0.8578671,0
494,0.850684,0
495,0.8618691,0
496,0.8587905,0
497,0.8804425,0
498,0.8978872,0
499,0.9245672,0
500,0.9234385,0
501,0.9624324,0
502,0.9870602,0
503,1.011688,0
504,1.049758,0
505,1.092754,0
506,1.122615,0
507,1.154426,0
508,1.193318,0
509,1.22205,0
510,1.290802,0
511,1.301064,0
512,1.369817,0
513,1.40368,0
514,1.466378,0
515,1.49706,0
516,1.582334,0
517,1.637746,0
518,1.679819,0
519,1.751547,0
520,1.824507,0
521,1.895312,0
522,1.959857,0
523,2.051287,0
524,2.110805,0
525,2.182533,0
