Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0.19,0
401,0.2,0
402,0.19,0
403,0.19,0
404,0.22,0
405,0.21,0
406,0.25,0
407,0.21,0
408,0.2,0
409,0.24,0
410,0.24,0
411,0.3,0
412,0.24,0
413,0.27,0
414,0.27,0
415,0.31,0
416,0.31,0
417,0.31,0
418,0.33,0
419,0.35,0
420,0.37,0
421,0.37,0
422,0.4,0
423,0.44,0
424,0.45,0
425,0.51,0
426,0.5,0
427,0.53,0
428,0.57,0
429,0.58,0
430,0.58,0
431,0.6,0
432,0.6,0
433,0.73,0
434,0.79,0
435,0.78,0
436,0.88,0
437,0.87,0
438,0.95,0
439,0.97,0
440,1.04,0
441,1.08,0
442,1.18,0
443,1.22,0
444,1.29,0
445,1.36,0
446,1.49,0
447,1.5,0
448,1.63,0
449,1.75,0
450,1.83,0
451,1.86,0
452,2.07,0
453,2.18,0
454,2.43,0
455,2.52,0
456,2.61,0
457,2.74,0
458,2.91,0
459,3.07,0
460,3.25,0
461,3.41,0
462,3.57,0
463,3.74,0
464,4.13,0
465,4.32,0
466,4.68,0
467,4.88,0
468,5.06,0
469,5.43,0
470,5.94,0
471,6.15,0
472,6.69,0
473,7,0
474,7.65,0
475,8.13,0
476,8.64,0
477,9.14,0
478,9.83,0
479,10.3,0
480,10.75,0
481,11.49,0
482,11.84,0
483,12.53,0
484,13.22,0
485,13.67,0
486,14.04,0
487,14.69,0
488,15.08,0
489,15.73,0
490,16.14,0
491,16.75,0
492,17.41,0
493,17.99,0
494,18.62,0
495,19.49,0
496,19.99,0
497,21.02,0
498,21.9,0
499,22.64,0
500,23.79,0.62
501,26.06,0.68
502,27.55,0.71
503,28.61,0.72
504,30.35,0.78
505,32.68,0.83
506,34.57,0.86
507,35.86,0.91
508,37.65,0.92
509,39.57,0.94
510,42.22,1.03
511,44.03,1.03
512,45.79,1.05
513,47.47,1.05
514,48.95,1.05
515,50.39,1.08
516,50.57,1.1
517,51.79,1.08
518,52.49,1.11
519,52.83,1.14
520,52.79,1.14
521,53.43,1.13
522,52.91,1.17
523,52.96,1.21
524,52.48,1.2
525,52.1,1.26
526,51.82,1.3
527,51.45,1.36
528,51.35,1.44
529,51.31,1.55
530,51.61,1.63
531,52.58,1.81
532,52.51,1.96
533,53.33,2.19
534,54.67,2.48
535,55.47,2.83
