Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0.73,0
426,0.73,0
427,0.73,0
428,0.73,0
429,0.73,0
430,0.91,0
431,1.09,0
432,1.09,0
433,1.1,0
434,1.1,0
435,1.1,0
436,1.46,0
437,1.46,0
438,1.46,0
439,1.82,0
440,1.82,0
441,2.17,0
442,2.17,0
443,2.17,0
444,2.35,0
445,2.53,0
446,2.89,0
447,2.89,0
448,3.25,0
449,3.43,0
450,3.61,0
451,3.79,0
452,3.97,0
453,4.15,0
454,4.51,0
455,4.69,0
456,4.87,0
457,5.23,0
458,5.94,0
459,6.65,0
460,6.65,0
461,6.65,0
462,6.66,0
463,6.84,0
464,7.37,0
465,7.73,0
466,8.09,0
467,8.27,0
468,8.63,0
469,8.81,0
470,9.17,0
471,9.88,0
472,10.42,0
473,10.96,0
474,11.32,0
475,12.04,0
476,13.82,0
477,14.54,0
478,15.26,0
479,15.8,0
480,16.52,0
481,17.77,0
482,18.13,0
483,18.49,0
484,19.38,0
485,20.1,0
486,20.82,0
487,21.35,0
488,22.07,0
489,23.33,0
490,24.04,0
491,24.04,0
492,24.58,0
493,24.94,0
494,25.47,0
495,25.83,0
496,26.37,0
497,27.63,0
498,28.71,0
499,30.31,0
500,31.03,0
501,31.75,0
502,33.36,0
503,34.79,0
504,36.41,0
505,37.84,0
506,39.45,0
507,42.5,0
508,43.21,0
509,44.82,0
510,46.97,0
511,49.12,0
512,52.52,0
513,53.6,0
514,56.82,0
515,58.44,0
516,59.52,0
517,60.4,0
518,61.48,0
519,63.28,0
520,63.99,0.54
521,64.17,0.54
522,64.53,0.54
523,64.53,0.54
524,64.53,0.54
525,63.99,0.54
526,63.63,0.54
527,62.92,0.54
528,62.2,0.54
529,61.85,0.54
530,60.77,0.54
531,60.05,0.72
532,59.69,0.9
533,59.34,0.9
534,58.99,0.9
535,59.35,1.08
536,59.7,1.25
537,61.67,1.43
538,62.75,1.79
539,64.53,1.97
540,66.15,1.97
541,67.94,2.33
542,69.73,3.22
543,70.81,3.57
544,74.39,3.93
