donor_type	acceptor_type	donor	acceptor	R0
AlexaFluor	AlexaFluor	430	405	0.5863601846728799
AlexaFluor	AlexaFluor	430	430	2.3064555013698507
AlexaFluor	AlexaFluor	430	488	4.066527888293166
AlexaFluor	AlexaFluor	430	514	4.760286606710603
AlexaFluor	AlexaFluor	430	532	5.123733213760594
AlexaFluor	AlexaFluor	430	546	5.562877577803662
AlexaFluor	AlexaFluor	430	555	5.855659741593905
AlexaFluor	AlexaFluor	430	568	5.605482824282152
AlexaFluor	AlexaFluor	430	594	5.611248492122301
AlexaFluor	AlexaFluor	430	610	5.762613892685551
AlexaFluor	AlexaFluor	430	633	5.7561250405358475
AlexaFluor	AlexaFluor	430	635	5.569797214806372
AlexaFluor	AlexaFluor	430	647	6.077137617775069
AlexaFluor	AlexaFluor	430	660	6.07770642671547
AlexaFluor	AlexaFluor	430	680	5.843172262758251
AlexaFluor	AlexaFluor	430	700	5.833559681262213
AlexaFluor	AlexaFluor	430	750	5.440927600839828
AlexaFluor	AlexaFluor	430	790	4.8107294459842445
AlexaFluor	ATTO	430	390	1.6047847331803207
AlexaFluor	ATTO	430	425	1.9315020118657058
AlexaFluor	ATTO	430	465	2.3675309764845416
AlexaFluor	ATTO	430	488	4.109077340168687
AlexaFluor	ATTO	430	495	3.9966718635540603
AlexaFluor	ATTO	430	520	4.931219757977955
AlexaFluor	ATTO	430	550	5.589019811662266
AlexaFluor	ATTO	430	610	5.763307018947243
AlexaFluor	ATTO	430	647N	5.45904055499931
AlexaFluor	ATTO	430	Thio12	5.620885349860131
AlexaFluor	Lumiprobe	430	Cy3	5.777422663200705
AlexaFluor	Lumiprobe	430	Cy3W	5.948354254808678
AlexaFluor	Lumiprobe	430	Cy3b	5.8858157446147725
AlexaFluor	Lumiprobe	430	Cy5	6.0734263571242675
AlexaFluor	Lumiprobe	430	Cy5W	6.155622572844449
AlexaFluor	Lumiprobe	430	Cy55	5.942943484489729
AlexaFluor	Lumiprobe	430	Cy7	5.1957329841447075
AlexaFluor	Lumiprobe	430	Cy75	4.794141471348874
AlexaFluor	CF	430	660R	5.136858110979315
AlexaFluor	AlexaFluor	488	430	2.6519527192233494
AlexaFluor	AlexaFluor	488	488	5.072894423735687
AlexaFluor	AlexaFluor	488	514	5.891029638717879
AlexaFluor	AlexaFluor	488	532	6.033697009389512
AlexaFluor	AlexaFluor	488	546	6.038261861796075
AlexaFluor	AlexaFluor	488	555	6.615668919798819
AlexaFluor	AlexaFluor	488	568	5.866877574273205
AlexaFluor	AlexaFluor	488	594	5.687781310385014
AlexaFluor	AlexaFluor	488	610	5.571139776539859
AlexaFluor	AlexaFluor	488	633	5.353529764083604
AlexaFluor	AlexaFluor	488	635	5.135290860617171
AlexaFluor	AlexaFluor	488	647	5.378558552645125
AlexaFluor	AlexaFluor	488	660	5.789959880648668
AlexaFluor	AlexaFluor	488	680	5.1939624548857
AlexaFluor	AlexaFluor	488	700	4.944068199625243
AlexaFluor	AlexaFluor	488	750	4.4190205116551065
AlexaFluor	AlexaFluor	488	790	4.1467549998299535
AlexaFluor	ATTO	488	390	1.7488989827239076
AlexaFluor	ATTO	488	425	1.9533302764289577
AlexaFluor	ATTO	488	465	2.4866516705789095
AlexaFluor	ATTO	488	488	5.12386379614454
AlexaFluor	ATTO	488	495	4.960887299752853
AlexaFluor	ATTO	488	520	6.142929414734821
AlexaFluor	ATTO	488	550	6.1990571032656
AlexaFluor	ATTO	488	610	5.489295533557627
AlexaFluor	ATTO	488	647N	4.86166797561312
AlexaFluor	ATTO	488	Thio12	5.75374672400336
AlexaFluor	Lumiprobe	488	Cy3	6.529494668630877
AlexaFluor	Lumiprobe	488	Cy3W	6.722677162135089
AlexaFluor	Lumiprobe	488	Cy3b	6.627052319404451
AlexaFluor	Lumiprobe	488	Cy5	5.429058419113015
AlexaFluor	Lumiprobe	488	Cy5W	5.502533922187391
AlexaFluor	Lumiprobe	488	Cy55	5.085962906478388
AlexaFluor	Lumiprobe	488	Cy7	4.62252074611526
AlexaFluor	Lumiprobe	488	Cy75	4.036006190467292
AlexaFluor	CF	488	660R	4.5465846469121285
AlexaFluor	AlexaFluor	532	430	1.985587703813686
AlexaFluor	AlexaFluor	532	488	2.737579783516017
AlexaFluor	AlexaFluor	532	514	4.091546683984514
AlexaFluor	AlexaFluor	532	532	5.1400817382639685
AlexaFluor	AlexaFluor	532	546	6.05493021646792
AlexaFluor	AlexaFluor	532	555	6.265608603271312
AlexaFluor	AlexaFluor	532	568	6.024603658883017
AlexaFluor	AlexaFluor	532	594	5.994102684285413
AlexaFluor	AlexaFluor	532	610	6.084328646564032
AlexaFluor	AlexaFluor	532	633	5.93502964043816
AlexaFluor	AlexaFluor	532	635	5.726971041442813
AlexaFluor	AlexaFluor	532	647	6.075006085901176
AlexaFluor	AlexaFluor	532	660	6.173502520193611
AlexaFluor	AlexaFluor	532	680	5.683862125083714
AlexaFluor	AlexaFluor	532	700	5.516009020269136
AlexaFluor	AlexaFluor	532	750	4.996177097808537
AlexaFluor	AlexaFluor	532	790	4.4073649942171516
AlexaFluor	ATTO	532	390	1.6883543630586297
AlexaFluor	ATTO	532	425	1.0574247887298083
AlexaFluor	ATTO	532	465	1.665626058082465
AlexaFluor	ATTO	532	488	2.6421445058863933
AlexaFluor	ATTO	532	495	2.478809964750312
AlexaFluor	ATTO	532	520	4.066904574966721
AlexaFluor	ATTO	532	550	6.062859987395434
AlexaFluor	ATTO	532	610	6.04679885353098
AlexaFluor	ATTO	532	647N	5.480535124018276
AlexaFluor	ATTO	532	Thio12	6.052716967890983
AlexaFluor	Lumiprobe	532	Cy3	6.175191649786899
AlexaFluor	Lumiprobe	532	Cy3W	6.357891687280361
AlexaFluor	Lumiprobe	532	Cy3b	6.280218494350604
AlexaFluor	Lumiprobe	532	Cy5	6.127154183460308
AlexaFluor	Lumiprobe	532	Cy5W	6.210077537988803
AlexaFluor	Lumiprobe	532	Cy55	5.76285130696723
AlexaFluor	Lumiprobe	532	Cy7	4.917984389981309
AlexaFluor	Lumiprobe	532	Cy75	4.536744592561873
AlexaFluor	CF	532	660R	5.085743010844966
AlexaFluor	AlexaFluor	546	430	1.9440323015631784
AlexaFluor	AlexaFluor	546	488	1.687072525332949
AlexaFluor	AlexaFluor	546	514	3.0017014065775918
AlexaFluor	AlexaFluor	546	532	4.166475178099104
AlexaFluor	AlexaFluor	546	546	6.120525807382451
AlexaFluor	AlexaFluor	546	555	5.773714334285752
AlexaFluor	AlexaFluor	546	568	6.444367059169521
AlexaFluor	AlexaFluor	546	594	6.487332835373068
AlexaFluor	AlexaFluor	546	610	6.6420841443829515
AlexaFluor	AlexaFluor	546	633	6.65505472322378
AlexaFluor	AlexaFluor	546	635	6.447687095900495
AlexaFluor	AlexaFluor	546	647	6.858934378443619
AlexaFluor	AlexaFluor	546	660	6.8188349772316945
AlexaFluor	AlexaFluor	546	680	6.414220884929607
AlexaFluor	AlexaFluor	546	700	6.310122855235761
AlexaFluor	AlexaFluor	546	750	5.754596367946756
AlexaFluor	AlexaFluor	546	790	5.012812770692788
AlexaFluor	ATTO	546	390	1.753477519655905
AlexaFluor	ATTO	546	465	1.0096405983913241
AlexaFluor	ATTO	546	488	2.253350227537927
AlexaFluor	ATTO	546	495	1.6807647762278053
AlexaFluor	ATTO	546	520	2.9727315183468415
AlexaFluor	ATTO	546	550	5.727313908915519
AlexaFluor	ATTO	546	610	6.681484215061893
AlexaFluor	ATTO	546	647N	6.1943717712556605
AlexaFluor	ATTO	546	Thio12	6.597693200457035
AlexaFluor	Lumiprobe	546	Cy3	5.729018838476618
AlexaFluor	Lumiprobe	546	Cy3W	5.898518348119619
AlexaFluor	Lumiprobe	546	Cy3b	6.058340097501454
AlexaFluor	Lumiprobe	546	Cy5	6.908088866478968
AlexaFluor	Lumiprobe	546	Cy5W	7.001581193428357
AlexaFluor	Lumiprobe	546	Cy55	6.566277746428096
AlexaFluor	Lumiprobe	546	Cy7	5.531685088147937
AlexaFluor	Lumiprobe	546	Cy75	5.10296860454456
AlexaFluor	CF	546	660R	5.722015094250275
AlexaFluor	AlexaFluor	555	430	1.3637353880519576
AlexaFluor	AlexaFluor	555	488	1.2188758128225305
AlexaFluor	AlexaFluor	555	514	2.1385809153903383
AlexaFluor	AlexaFluor	555	532	3.0331251116247726
AlexaFluor	AlexaFluor	555	546	4.328880305162375
AlexaFluor	AlexaFluor	555	555	4.172593678404844
AlexaFluor	AlexaFluor	555	568	4.4584398155000144
AlexaFluor	AlexaFluor	555	594	4.508591326730849
AlexaFluor	AlexaFluor	555	610	4.7240903952983295
AlexaFluor	AlexaFluor	555	633	4.727245387379217
AlexaFluor	AlexaFluor	555	635	4.5749917819022645
AlexaFluor	AlexaFluor	555	647	4.926481615643338
AlexaFluor	AlexaFluor	555	660	4.874448888531618
AlexaFluor	AlexaFluor	555	680	4.653233981783132
AlexaFluor	AlexaFluor	555	700	4.614158818806151
AlexaFluor	AlexaFluor	555	750	4.2525627125221925
AlexaFluor	AlexaFluor	555	790	3.711429910367459
AlexaFluor	ATTO	555	390	1.2217849004844294
AlexaFluor	ATTO	555	465	0.7207049359540775
AlexaFluor	ATTO	555	488	1.5874989231033925
AlexaFluor	ATTO	555	495	1.217112290149534
AlexaFluor	ATTO	555	520	2.107062903726427
AlexaFluor	ATTO	555	550	4.112250094263126
AlexaFluor	ATTO	555	610	4.748678601640525
AlexaFluor	ATTO	555	647N	4.4325867953460865
AlexaFluor	ATTO	555	Thio12	4.543386267403471
AlexaFluor	Lumiprobe	555	Cy3	4.131413965307755
AlexaFluor	Lumiprobe	555	Cy3W	4.253646525715623
AlexaFluor	Lumiprobe	555	Cy3b	4.32422790749825
AlexaFluor	Lumiprobe	555	Cy5	4.9408701280270275
AlexaFluor	Lumiprobe	555	Cy5W	5.007738614283113
AlexaFluor	Lumiprobe	555	Cy55	4.776498627673384
AlexaFluor	Lumiprobe	555	Cy7	4.053266126757341
AlexaFluor	Lumiprobe	555	Cy75	3.7466844597097553
AlexaFluor	CF	555	660R	4.132526477549708
AlexaFluor	AlexaFluor	568	430	1.5847147838694744
AlexaFluor	AlexaFluor	568	514	2.2209292196250736
AlexaFluor	AlexaFluor	568	532	3.1000385975449816
AlexaFluor	AlexaFluor	568	546	4.445365553552648
AlexaFluor	AlexaFluor	568	555	3.7151151435574614
AlexaFluor	AlexaFluor	568	568	5.596619962252467
AlexaFluor	AlexaFluor	568	594	6.1462348485615195
AlexaFluor	AlexaFluor	568	610	6.845277785897935
AlexaFluor	AlexaFluor	568	633	6.902129714610216
AlexaFluor	AlexaFluor	568	635	6.699868479960833
AlexaFluor	AlexaFluor	568	647	7.4208113643577285
AlexaFluor	AlexaFluor	568	660	7.155897386866663
AlexaFluor	AlexaFluor	568	680	7.00170404892328
AlexaFluor	AlexaFluor	568	700	7.01536149012503
AlexaFluor	AlexaFluor	568	750	6.528749676954979
AlexaFluor	AlexaFluor	568	790	5.669569228244056
AlexaFluor	ATTO	568	390	1.4444789552573667
